transaction,category,confidence,explanation
VINTAGE BILLBOARD LOVE/HATE MUG,Shopping,0.9997,The model identified patterns in the keywords: 'vintage billboard love/hate'.
WOOD 2 DRAWER CABINET WHITE FINISH,Shopping,0.9984,The model identified patterns in the keywords: 'wood drawer cabinet white finish'.
WOOD S/3 CABINET ANT WHITE FINISH,Shopping,0.9901,The model identified patterns in the keywords: 'wood cabinet white finish'.
WOODEN PICTURE FRAME WHITE FINISH,Shopping,0.9937,The model identified patterns in the keywords: 'wooden picture frame white finish'.
WOODEN FRAME ANTIQUE WHITE ,Shopping,0.9755,The model identified patterns in the keywords: 'wooden frame antique white'.
KNITTED UNION FLAG HOT WATER BOTTLE,Other,0.4616,Model confidence was low; classified as Other.
RED WOOLLY HOTTIE WHITE HEART.,Shopping,0.9573,The model identified patterns in the keywords: 'woolly hottie white heart.'.
SET 7 BABUSHKA NESTING BOXES,Shopping,0.9466,The model identified patterns in the keywords: 'babushka nesting boxes'.
GLASS STAR FROSTED T-LIGHT HOLDER,Other,0.5288,Model confidence was low; classified as Other.
HOT WATER BOTTLE TEA AND SYMPATHY,Food & Dining,0.9988,The model identified patterns in the keywords: 'water bottle sympathy'.
RED HANGING HEART T-LIGHT HOLDER,Shopping,0.9264,The model identified patterns in the keywords: 'hanging heart t-light holder'.
HAND WARMER RED POLKA DOT,Food & Dining,0.7758,The model identified patterns in the keywords: 'hand warmer polka'.
HAND WARMER UNION JACK,Other,0.5074,Model confidence was low; classified as Other.
JUMBO BAG PINK POLKADOT,Food & Dining,0.9664,The model identified patterns in the keywords: 'jumbo pink polkadot'.
JUMBO  BAG BAROQUE BLACK WHITE,Food & Dining,0.9964,The model identified patterns in the keywords: 'jumbo baroque black white'.
JUMBO BAG CHARLIE AND LOLA TOYS,Transport,0.99,Matched known merchant 'ola'.
STRAWBERRY CHARLOTTE BAG,Food & Dining,0.9577,The model identified patterns in the keywords: 'strawberry charlotte'.
RED 3 PIECE RETROSPOT CUTLERY SET,Shopping,0.9921,The model identified patterns in the keywords: 'piece retrospot cutlery'.
BLUE 3 PIECE POLKADOT CUTLERY SET,Food & Dining,0.63,The model identified patterns in the keywords: 'blue piece polkadot cutlery'.
SET/6 RED SPOTTY PAPER PLATES,Shopping,0.9947,The model identified patterns in the keywords: 'set/6 spotty paper plates'.
LUNCH BAG RED RETROSPOT,Food & Dining,0.9936,The model identified patterns in the keywords: 'lunch retrospot'.
STRAWBERRY LUNCH BOX WITH CUTLERY,Food & Dining,0.999,The model identified patterns in the keywords: 'strawberry lunch with cutlery'.
LUNCH BOX WITH CUTLERY RETROSPOT ,Food & Dining,0.9986,The model identified patterns in the keywords: 'lunch with cutlery retrospot'.
PACK OF 72 RETROSPOT CAKE CASES,Food & Dining,0.9768,The model identified patterns in the keywords: 'pack retrospot cake cases'.
PACK OF 60 DINOSAUR CAKE CASES,Food & Dining,0.9118,The model identified patterns in the keywords: 'pack dinosaur cake cases'.
PACK OF 60 PINK PAISLEY CAKE CASES,Food & Dining,0.9122,The model identified patterns in the keywords: 'pack pink paisley cake cases'.
60 TEATIME FAIRY CAKE CASES,Food & Dining,0.9998,The model identified patterns in the keywords: 'teatime fairy cake cases'.
TOMATO CHARLIE+LOLA COASTER SET,Transport,0.99,Matched known merchant 'ola'.
CHARLIE & LOLA WASTEPAPER BIN FLORA,Transport,0.99,Matched known merchant 'ola'.
RED CHARLIE+LOLA PERSONAL DOORSIGN,Transport,0.99,Matched known merchant 'ola'.
JUMBO STORAGE BAG SUKI,Food & Dining,0.9688,The model identified patterns in the keywords: 'jumbo storage suki'.
JUMBO BAG PINK VINTAGE PAISLEY,Shopping,0.9208,The model identified patterns in the keywords: 'jumbo pink vintage paisley'.
JAM MAKING SET PRINTED,Food & Dining,0.9989,The model identified patterns in the keywords: 'making printed'.
RETROSPOT TEA SET CERAMIC 11 PC ,Food & Dining,0.9969,The model identified patterns in the keywords: 'retrospot ceramic'.
GIRLY PINK TOOL SET,Shopping,0.9925,The model identified patterns in the keywords: 'girly pink tool'.
JUMBO SHOPPER VINTAGE RED PAISLEY,Shopping,0.9989,The model identified patterns in the keywords: 'jumbo shopper vintage paisley'.
"AIRLINE LOUNGE,METAL SIGN",Travel,0.9802,"The model identified patterns in the keywords: 'airline lounge,metal sign'."
WHITE SPOT RED CERAMIC DRAWER KNOB,Shopping,0.9958,The model identified patterns in the keywords: 'white spot ceramic drawer knob'.
RED DRAWER KNOB ACRYLIC EDWARDIAN,Shopping,0.9984,The model identified patterns in the keywords: 'drawer knob acrylic edwardian'.
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,Shopping,0.9967,The model identified patterns in the keywords: 'clear drawer knob acrylic edwardian'.
PHOTO CLIP LINE,Shopping,0.9986,The model identified patterns in the keywords: 'photo clip line'.
FELT EGG COSY CHICKEN,Food & Dining,0.9998,The model identified patterns in the keywords: 'felt cosy chicken'.
PIGGY BANK RETROSPOT ,Shopping,0.8347,The model identified patterns in the keywords: 'piggy bank retrospot'.
SKULL SHOULDER BAG,Shopping,0.7464,The model identified patterns in the keywords: 'skull shoulder'.
YOU'RE CONFUSING ME METAL SIGN ,Shopping,0.9613,The model identified patterns in the keywords: 'you're confusing metal sign'.
COOK WITH WINE METAL SIGN ,Food & Dining,0.9995,The model identified patterns in the keywords: 'cook with wine metal sign'.
GIN + TONIC DIET METAL SIGN,Food & Dining,0.999,The model identified patterns in the keywords: 'tonic diet metal sign'.
YELLOW BREAKFAST CUP AND SAUCER,Food & Dining,0.9998,The model identified patterns in the keywords: 'yellow breakfast saucer'.
PINK BREAKFAST CUP AND SAUCER ,Food & Dining,0.9997,The model identified patterns in the keywords: 'pink breakfast saucer'.
PAPER CHAIN KIT 50'S CHRISTMAS ,Shopping,0.9991,The model identified patterns in the keywords: 'paper chain 50's christmas'.
PAPER CHAIN KIT RETROSPOT,Shopping,0.9823,The model identified patterns in the keywords: 'paper chain retrospot'.
SMALL HEART FLOWERS HOOK ,Other,0.5476,Model confidence was low; classified as Other.
PHOTO CLIP LINE,Shopping,0.9986,The model identified patterns in the keywords: 'photo clip line'.
TEA TIME DES TEA COSY,Food & Dining,0.9998,The model identified patterns in the keywords: 'time cosy'.
FELT EGG COSY WHITE RABBIT ,Food & Dining,0.9997,The model identified patterns in the keywords: 'felt cosy white rabbit'.
ZINC WILLIE WINKIE  CANDLE STICK,Bills & Utilities,0.788,The model identified patterns in the keywords: 'zinc willie winkie candle stick'.
CERAMIC CHERRY CAKE MONEY BANK,Other,0.5716,Model confidence was low; classified as Other.
RETROSPOT LARGE MILK JUG,Bills & Utilities,0.6466,The model identified patterns in the keywords: 'retrospot large milk'.
SET OF 6 FUNKY BEAKERS,Shopping,0.7817,The model identified patterns in the keywords: 'funky beakers'.
EDWARDIAN PARASOL BLACK,Food & Dining,0.9746,The model identified patterns in the keywords: 'edwardian parasol black'.
EDWARDIAN PARASOL NATURAL,Food & Dining,0.8296,The model identified patterns in the keywords: 'edwardian parasol natural'.
CERAMIC STRAWBERRY CAKE MONEY BANK,Shopping,0.9607,The model identified patterns in the keywords: 'ceramic strawberry cake money bank'.
BLUE OWL SOFT TOY,Shopping,0.9243,The model identified patterns in the keywords: 'blue soft'.
BALLOON ART MAKE YOUR OWN FLOWERS,Shopping,0.9937,The model identified patterns in the keywords: 'balloon make your flowers'.
RED TOADSTOOL LED NIGHT LIGHT,Bills & Utilities,0.7305,The model identified patterns in the keywords: 'toadstool night light'.
GLASS CLOCHE SMALL,Bills & Utilities,0.9943,The model identified patterns in the keywords: 'glass cloche small'.
GUMBALL MONOCHROME COAT RACK,Other,0.5639,Model confidence was low; classified as Other.
DOORMAT FANCY FONT HOME SWEET HOME,Shopping,0.9992,The model identified patterns in the keywords: 'doormat fancy font home sweet home'.
Discount,Shopping,0.9978,The model identified patterns in the keywords: 'discount'.
INFLATABLE POLITICAL GLOBE ,Other,0.5433,Model confidence was low; classified as Other.
VINTAGE SNAKES & LADDERS,Shopping,0.9995,The model identified patterns in the keywords: 'vintage snakes ladders'.
CHOCOLATE CALCULATOR,Transport,0.99,Matched known merchant 'ola'.
JUMBO SHOPPER VINTAGE RED PAISLEY,Shopping,0.9989,The model identified patterns in the keywords: 'jumbo shopper vintage paisley'.
RECYCLING BAG RETROSPOT ,Shopping,0.9957,The model identified patterns in the keywords: 'recycling retrospot'.
TOY TIDY PINK POLKADOT,Shopping,0.9995,The model identified patterns in the keywords: 'tidy pink polkadot'.
ANTIQUE GLASS DRESSING TABLE POT,Shopping,0.9944,The model identified patterns in the keywords: 'antique glass dressing table'.
ALARM CLOCK BAKELIKE GREEN,Bills & Utilities,0.8878,The model identified patterns in the keywords: 'alarm clock bakelike green'.
IVORY GIANT GARDEN THERMOMETER,Shopping,0.9993,The model identified patterns in the keywords: 'ivory giant garden thermometer'.
3 TIER CAKE TIN GREEN AND CREAM,Food & Dining,0.9997,The model identified patterns in the keywords: 'tier cake green cream'.
3 TIER CAKE TIN RED AND CREAM,Food & Dining,0.9997,The model identified patterns in the keywords: 'tier cake cream'.
SET 3 WICKER OVAL BASKETS W LIDS,Other,0.5951,Model confidence was low; classified as Other.
SET OF 3 COLOURED  FLYING DUCKS,Shopping,0.9843,The model identified patterns in the keywords: 'coloured flying ducks'.
WOOD BLACK BOARD ANT WHITE FINISH,Food & Dining,0.7419,The model identified patterns in the keywords: 'wood black board white finish'.
COLOUR GLASS T-LIGHT HOLDER HANGING,Other,0.5124,Model confidence was low; classified as Other.
HANGING METAL HEART LANTERN,Shopping,0.9845,The model identified patterns in the keywords: 'hanging metal heart lantern'.
HANGING MEDINA LANTERN SMALL,Other,0.5851,Model confidence was low; classified as Other.
NATURAL SLATE HEART CHALKBOARD ,Other,0.5733,Model confidence was low; classified as Other.
HEART OF WICKER SMALL,Food & Dining,0.7754,The model identified patterns in the keywords: 'heart wicker small'.
HEART OF WICKER LARGE,Food & Dining,0.6838,The model identified patterns in the keywords: 'heart wicker large'.
WHITE LOVEBIRD LANTERN,Other,0.59,Model confidence was low; classified as Other.
CLASSIC METAL BIRDCAGE PLANT HOLDER,Shopping,0.9989,The model identified patterns in the keywords: 'classic metal birdcage plant holder'.
CREAM HEART CARD HOLDER,Food & Dining,0.9991,The model identified patterns in the keywords: 'cream heart card holder'.
ENAMEL FLOWER JUG CREAM,Shopping,0.9693,The model identified patterns in the keywords: 'enamel flower cream'.
ENAMEL FIRE BUCKET CREAM,Shopping,0.9754,The model identified patterns in the keywords: 'enamel fire bucket cream'.
ENAMEL BREAD BIN CREAM,Food & Dining,0.9985,The model identified patterns in the keywords: 'enamel bread cream'.
SET 3 WICKER OVAL BASKETS W LIDS,Other,0.5951,Model confidence was low; classified as Other.
JAM MAKING SET PRINTED,Food & Dining,0.9989,The model identified patterns in the keywords: 'making printed'.
JAM MAKING SET WITH JARS,Food & Dining,0.9997,The model identified patterns in the keywords: 'making with jars'.
JUMBO BAG DOLLY GIRL DESIGN,Shopping,0.965,The model identified patterns in the keywords: 'jumbo dolly girl design'.
TRADITIONAL CHRISTMAS RIBBONS,Food & Dining,0.9907,The model identified patterns in the keywords: 'traditional christmas ribbons'.
ORGANISER WOOD ANTIQUE WHITE ,Shopping,0.9544,The model identified patterns in the keywords: 'organiser wood antique white'.
LUNCH BAG DOLLY GIRL DESIGN,Other,0.5499,Model confidence was low; classified as Other.
WHITE WIRE EGG HOLDER,Food & Dining,0.9995,The model identified patterns in the keywords: 'white wire holder'.
JUMBO  BAG BAROQUE BLACK WHITE,Food & Dining,0.9964,The model identified patterns in the keywords: 'jumbo baroque black white'.
JUMBO BAG RED RETROSPOT,Food & Dining,0.7956,The model identified patterns in the keywords: 'jumbo retrospot'.
CHILLI LIGHTS,Food & Dining,0.9997,The model identified patterns in the keywords: 'chilli lights'.
LIGHT GARLAND BUTTERFILES PINK,Shopping,0.7317,The model identified patterns in the keywords: 'light garland butterfiles pink'.
WOODEN OWLS LIGHT GARLAND ,Shopping,0.9263,The model identified patterns in the keywords: 'wooden owls light garland'.
FAIRY TALE COTTAGE NIGHTLIGHT,Shopping,0.715,The model identified patterns in the keywords: 'fairy tale cottage nightlight'.
RED TOADSTOOL LED NIGHT LIGHT,Bills & Utilities,0.7305,The model identified patterns in the keywords: 'toadstool night light'.
HOME BUILDING BLOCK WORD,Shopping,0.9757,The model identified patterns in the keywords: 'home building block word'.
LOVE BUILDING BLOCK WORD,Food & Dining,0.9879,The model identified patterns in the keywords: 'love building block word'.
DOORMAT FANCY FONT HOME SWEET HOME,Shopping,0.9992,The model identified patterns in the keywords: 'doormat fancy font home sweet home'.
HOME SMALL WOOD LETTERS,Shopping,0.999,The model identified patterns in the keywords: 'home small wood letters'.
GINGHAM HEART  DOORSTOP RED,Food & Dining,0.9992,The model identified patterns in the keywords: 'gingham heart doorstop'.
FIVE HEART HANGING DECORATION,Other,0.5124,Model confidence was low; classified as Other.
HANGING METAL HEART LANTERN,Shopping,0.9845,The model identified patterns in the keywords: 'hanging metal heart lantern'.
ASSORTED BOTTLE TOP  MAGNETS ,Shopping,0.9841,The model identified patterns in the keywords: 'assorted bottle magnets'.
FRIDGE MAGNETS US DINER ASSORTED,Shopping,0.9897,The model identified patterns in the keywords: 'fridge magnets diner assorted'.
HOMEMADE JAM SCENTED CANDLES,Food & Dining,0.9923,The model identified patterns in the keywords: 'homemade scented candles'.
FRIDGE MAGNETS LES ENFANTS ASSORTED,Shopping,0.9985,The model identified patterns in the keywords: 'fridge magnets enfants assorted'.
ROSE CARAVAN DOORSTOP,Shopping,0.9007,The model identified patterns in the keywords: 'rose caravan doorstop'.
HEART OF WICKER SMALL,Food & Dining,0.7754,The model identified patterns in the keywords: 'heart wicker small'.
5 HOOK HANGER MAGIC TOADSTOOL,Bills & Utilities,0.9927,The model identified patterns in the keywords: 'hook hanger magic toadstool'.
CHRISTMAS LIGHTS 10 REINDEER,Food & Dining,0.996,The model identified patterns in the keywords: 'christmas lights reindeer'.
VINTAGE UNION JACK CUSHION COVER,Shopping,0.9989,The model identified patterns in the keywords: 'vintage union jack cushion cover'.
VINTAGE HEADS AND TAILS CARD GAME ,Shopping,0.7644,The model identified patterns in the keywords: 'vintage heads tails card game'.
SET OF 3 COLOURED  FLYING DUCKS,Shopping,0.9843,The model identified patterns in the keywords: 'coloured flying ducks'.
SET OF 3 GOLD FLYING DUCKS,Shopping,0.9978,The model identified patterns in the keywords: 'gold flying ducks'.
RED RETROSPOT UMBRELLA,Shopping,0.9729,The model identified patterns in the keywords: 'retrospot umbrella'.
BLACK/BLUE POLKADOT UMBRELLA,Food & Dining,0.844,The model identified patterns in the keywords: 'black/blue polkadot umbrella'.
RED DINER WALL CLOCK,Other,0.5472,Model confidence was low; classified as Other.
ALARM CLOCK BAKELIKE GREEN,Bills & Utilities,0.8878,The model identified patterns in the keywords: 'alarm clock bakelike green'.
ALARM CLOCK BAKELIKE RED ,Bills & Utilities,0.7996,The model identified patterns in the keywords: 'alarm clock bakelike'.
BLUE DINER WALL CLOCK,Shopping,0.8357,The model identified patterns in the keywords: 'blue diner wall clock'.
IVORY DINER WALL CLOCK,Shopping,0.9911,The model identified patterns in the keywords: 'ivory diner wall clock'.
LARGE HEART MEASURING SPOONS,Other,0.5868,Model confidence was low; classified as Other.
SMALL HEART MEASURING SPOONS,Food & Dining,0.8936,The model identified patterns in the keywords: 'small heart measuring spoons'.
CHRISTMAS LIGHTS 10 REINDEER,Food & Dining,0.996,The model identified patterns in the keywords: 'christmas lights reindeer'.
JAM MAKING SET WITH JARS,Food & Dining,0.9997,The model identified patterns in the keywords: 'making with jars'.
JAM MAKING SET PRINTED,Food & Dining,0.9989,The model identified patterns in the keywords: 'making printed'.
JAM JAR WITH PINK LID,Food & Dining,0.9992,The model identified patterns in the keywords: 'with pink'.
JAM JAR WITH GREEN LID,Food & Dining,0.9995,The model identified patterns in the keywords: 'with green'.
ROSE COTTAGE KEEPSAKE BOX ,Shopping,0.9857,The model identified patterns in the keywords: 'rose cottage keepsake'.
HANGING HEART ZINC T-LIGHT HOLDER,Shopping,0.9634,The model identified patterns in the keywords: 'hanging heart zinc t-light holder'.
PAPER CHAIN KIT VINTAGE CHRISTMAS,Shopping,0.9993,The model identified patterns in the keywords: 'paper chain vintage christmas'.
DISCO BALL CHRISTMAS DECORATION,Food & Dining,0.7998,The model identified patterns in the keywords: 'disco ball christmas decoration'.
WHITE HANGING HEART T-LIGHT HOLDER,Shopping,0.9775,The model identified patterns in the keywords: 'white hanging heart t-light holder'.
SMALL POPCORN HOLDER,Food & Dining,0.9989,The model identified patterns in the keywords: 'small popcorn holder'.
LARGE POPCORN HOLDER ,Food & Dining,0.9985,The model identified patterns in the keywords: 'large popcorn holder'.
RETROSPOT LARGE MILK JUG,Bills & Utilities,0.6466,The model identified patterns in the keywords: 'retrospot large milk'.
SET/20 RED RETROSPOT PAPER NAPKINS ,Shopping,0.9878,The model identified patterns in the keywords: 'set/20 retrospot paper napkins'.
SET/6 RED SPOTTY PAPER PLATES,Shopping,0.9947,The model identified patterns in the keywords: 'set/6 spotty paper plates'.
SET/6 RED SPOTTY PAPER CUPS,Shopping,0.9817,The model identified patterns in the keywords: 'set/6 spotty paper cups'.
POLKADOT RAIN HAT ,Shopping,0.8769,The model identified patterns in the keywords: 'polkadot rain'.
DELUXE SEWING KIT ,Shopping,0.9992,The model identified patterns in the keywords: 'deluxe sewing'.
RETROSPOT HEART HOT WATER BOTTLE,Bills & Utilities,0.9602,The model identified patterns in the keywords: 'retrospot heart water bottle'.
KNITTED UNION FLAG HOT WATER BOTTLE,Other,0.4616,Model confidence was low; classified as Other.
ENGLISH ROSE HOT WATER BOTTLE,Food & Dining,0.9993,The model identified patterns in the keywords: 'english rose water bottle'.
PHOTO CUBE,Shopping,0.9993,The model identified patterns in the keywords: 'photo cube'.
HOMEMADE JAM SCENTED CANDLES,Food & Dining,0.9923,The model identified patterns in the keywords: 'homemade scented candles'.
JUMBO BAG RED RETROSPOT,Food & Dining,0.7956,The model identified patterns in the keywords: 'jumbo retrospot'.
PLASTERS IN TIN CIRCUS PARADE ,Shopping,0.9976,The model identified patterns in the keywords: 'plasters circus parade'.
PACK OF 12 PINK PAISLEY TISSUES ,Shopping,0.9817,The model identified patterns in the keywords: 'pack pink paisley tissues'.
PACK OF 12 BLUE PAISLEY TISSUES ,Shopping,0.8232,The model identified patterns in the keywords: 'pack blue paisley tissues'.
PACK OF 12 RED RETROSPOT TISSUES ,Bills & Utilities,0.945,The model identified patterns in the keywords: 'pack retrospot tissues'.
CHICK GREY HOT WATER BOTTLE,Food & Dining,0.9978,The model identified patterns in the keywords: 'chick grey water bottle'.
PLASTERS IN TIN VINTAGE PAISLEY ,Shopping,0.9979,The model identified patterns in the keywords: 'plasters vintage paisley'.
PLASTERS IN TIN SKULLS,Shopping,0.9906,The model identified patterns in the keywords: 'plasters skulls'.
3 STRIPEY MICE FELTCRAFT,Food & Dining,0.8821,The model identified patterns in the keywords: 'stripey mice feltcraft'.
SET OF 6 SOLDIER SKITTLES,Shopping,0.6564,The model identified patterns in the keywords: 'soldier skittles'.
TRADITIONAL WOODEN SKIPPING ROPE,Food & Dining,0.997,The model identified patterns in the keywords: 'traditional wooden skipping rope'.
WOODEN BOX OF DOMINOES,Shopping,0.9372,The model identified patterns in the keywords: 'wooden dominoes'.
RUSTIC  SEVENTEEN DRAWER SIDEBOARD,Shopping,0.9981,The model identified patterns in the keywords: 'rustic seventeen drawer sideboard'.
PARTY CONES CARNIVAL ASSORTED,Food & Dining,0.9974,The model identified patterns in the keywords: 'party cones carnival assorted'.
